Título,Comentario,Puntaje
Airbnb’s host referral program is a…,"Airbnb’s host referral program is a complete mess. I referred a host based on their promise of a referral bonus worth 1600 DKK, but since then, I’ve only received conflicting and unclear answers from support.One agent told me I’d get the bonus after a second booking. Another said the booking just needs to be at least 50 USD. A third claimed it has to be 100 USD total. And now they’re telling me to contact the host I referred — even though the bonus is supposed to come from Airbnb, not the host.I’ve asked multiple times for someone from Airbnb Europe to respond with a clear explanation and a reference to the official terms and conditions, but no one has provided anything concrete. I feel misled, and frankly, it looks like Airbnb is intentionally making it difficult to claim the promised bonus.Until they take responsibility and clarify their own program, I cannot recommend relying on their referral system. This has been a frustrating and unprofessional experience.",1
Stranded in Menorca.,"I arrived at my Airbnb accommodation to find the host had cancelled the booking mere hours after check-in time—after I had already arrived. This abrupt cancellation not only breached Airbnb’s own policies around host accountability but left me stranded without support, redress, or viable alternatives.Airbnb’s response was procedural and dismissive, showing little regard for the inconvenience, cost, and disruption caused. The platform’s refusal to take responsibility or offer timely resolution exposes a fundamental flaw: a system that allows hosts to cancel post-arrival without consequence, while leaving guests vulnerable.Despite multiple attempts to escalate the issue, Airbnb failed to acknowledge the breach of contract and the clear violation of their customer care standards. Their evasiveness and reliance on generic messaging demonstrate a disregard for user experience and consumer protection.This experience raises serious questions about Airbnb’s reliability, enforcement of its own terms, and the ethical treatment of guests. I would caution others to be aware of the risk of post-check-in cancellations, and the limited protections currently offered by the platform. Air BnB were aware I was with individuals with disabilities. A wheelchair user with a serious medical condition and 3 children with autism.",1
No customer service,"No customer service, all we get are scripts and apologies, we go round in an endless loop with no professionalism on their part. We are now changing platform to Booking.com",1
Airbnb has completely failed to protect…,"Airbnb has completely failed to protect me as a host.After a guest caused damage to my property and then left a false, retaliatory 1-star review, I submitted all necessary documentation through the proper AirCover channels. However, not only was I ignored — Airbnb has since stopped responding entirely.Every time I open a new support request, it is silently closed without explanation or resolution. I am no longer receiving any responses from human agents. This seems to be a deliberate tactic to silence hosts who speak up.I have been hosting professionally for years and have upheld Airbnb's standards. This treatment is deeply disappointing, unprofessional, and disrespectful to hosts who have helped build this platform.I am now preparing to file formal complaints with consumer protection organizations, and I will be sharing this experience publicly until I receive a fair response: either reimbursement for the damages or removal of the malicious review. Airbnb cannot continue to intimidate and silence its hosts like this.I demand escalation to the Content Integrity Team and Trust & Safety Team. Enough is enough.",1
Airbnb allowed my reservation to be cancelled unfairly- Guest left unprotected,"I had a very disappointing experience with Airbnb and a host who refused to help me in good faith.I booked a property and paid in two installments. The second payment failed due to insufficient funds in my account at the time. However, I transferred the required amount before the final deadline, expecting Airbnb’s system to retry the payment. Instead, Airbnb canceled my reservation automatically on May 18th at 11:53 AM, even though the cancellation policy stated that if canceled before May 19th at 3 PM, a 50% refund would apply.I immediately contacted the host, explained the situation, and offered to rebook and pay in full. He refused and later re-listed the property at a lower price. Airbnb told me the host kept the difference, and they could not do anything because the cancellation was considered to be “on my behalf”—even though it was triggered by their system, not by me.Airbnb ignored my requests for fairness and accountability. Their senior manager offered me only a $100 AUD coupon and closed the case, despite my repeated attempts to explain and find a middle ground.Meanwhile, I lost over $600 AUD, even though I did everything I could to fix the issue in time. The host had the chance to help and didn’t. Airbnb allowed it and stood behind “policy,” not fairness.If you’re a guest, please be aware: Airbnb’s policies do not protect you when things go wrong, even when you act in good faith. Hosts can profit from technical issues, and you’ll be left with no meaningful support.",1
We rented Hydeaway Villa in Coravigno…,"We rented Hydeaway Villa in Coravigno Italy in July 2025 for £6000 and had a terrible experience. I have Photographic and written comms with the owner to corroborate the following…. It was infested with mice. The pool was full of algae and out of action for four days. Pans, Pots, Cutlery and plates had dried food and grease on them from previous use and uncleaned. Mould in the showers and on the walls. I put a 100% truthful review on the AirBnb site when asked by them. It was removed by them saying I was being “coercive” I have appealed under their laborious and boring process but they haven’t even bothered to respond. They obviously don’t have the end user at heart but side with one party (property owner) that pays them without bothering to get both sides of the story. I will not use Airbnb again!",1
AirBnB is really disappointing,"AirBnB is really disappointing, their inflexible customer service and limited options to payment methods, with inflexible dates, spent 4 hours trying to resolve the issue. Had to cancel the booking and will use Booking.com",1
Title:** Extremely Disappointed After Years of Loyalty,"I've been using Airbnb for years, but this recent experience has completely shattered my trust in the platform.I accidentally booked an apartment that was a total disaster—**broken locks**, a **malfunctioning AC** that wasn’t cooling and was leaking water, and to top it off, a **rude and unhelpful caretaker**. I left the property within **50 minutes** of arrival because it was simply unlivable.Airbnb's response? They kept demanding **pictures**, even though I explained the situation clearly. How can you tell from pictures that it's working or not if the lights are showing fine. Still, they **outright rejected** my refund request.I'm shocked at how little they care about guests who have been loyal for years. **This will be the last time I ever use Airbnb.** Pathetic service and terrible customer support.",1
Airbnb is making money illegally on…,Airbnb is making money illegally on illegal Israeli settlements in Palestine... This is disgusting and wrong..I am shocked and completely against Airbnb now...would not give any stars at all.,1
Will not use airbnb again,"Will not use airbnb again, they do not look after customers.  Our host cancelled our cottage accommodate 1 week before we were supposed to arrive in August 2025.  The accommodation was in Cornwall and due to school holidays etc there was no other accommodation available!  We had booked to go to a venue with tickets non refundable. All airbnb did was tell the host off .. there was no fine imposed on the host who cancelled us to get more money and no compensation to us!  This is disgusting behaviour and only upholds airbnb policy not to penalise hosts for acting dishonestly!  WILL NEVER USE AIRBNB AGAIN, THERE ARE SAFER AND BETTER OPTIONS OUT THERE WHICH DONT CANCEL LAST MINUTE AND RUIN CUSTOMER PLANS ... I am absolutely disgustedthat airbnb did not force the host to keep the booking or not allow them to rent to another party for the same days! Utter disgrace! The host is hope will get their karma!",1
Airbnb Failed to Protect Us from a Dishonest Guest – Hosts Beware,"Guest – Hosts BewareWe are experienced Airbnb hosts with a 5-star property in the South of France. After years of consistently high ratings and excellent guest feedback, we recently had a deeply upsetting experience with a dishonest guest.The guest booked a 5-night stay, arrived over 4 hours late, stayed only one night, and made false claims (backed by no evidence) that our property was “unlivable” — citing a single ant and a smell. Despite our home being professionally cleaned, photographed prior to check-in, and consistently reviewed as immaculate, Airbnb sided with the guest without giving us a proper opportunity to address the claims.Worse still, the guest sent abusive WhatsApp messages and made accusations which clearly violated Airbnb’s community standards — yet the review was allowed to remain, permanently damaging our listing’s credibility.Airbnb failed to uphold its own policies and refused to remove a false, retaliatory review. We’re now left with damage to our hard-earned reputation and no real support.This platform is fundamentally unsafe for hosts when bad-faith guests are protected over factual evidence and respectful conduct.",1
Whatever you do don't register on their…,"Whatever you do don't register on their site, if you try and unsubscribe they'll send you in circles so it's "" impossible "", all the time being bombarded with further emails and texts",1
"Airbnb supports heartless refund policies – I lost $1,677 due to their inaction","I had a terrible experience with an Airbnb host named Hector Velez, and Airbnb did absolutely nothing to help.I accidentally booked two properties for the same dates. I contacted Airbnb and the host 4 days before check-in to explain and cancel. The host refused to refund even a cent, despite the reasonable notice — all because of his “strict cancellation policy.”Airbnb told me to cancel and promised a partial refund of $170, and said the host had 72 hours to refund the remaining $1,677. After the deadline passed, they simply said:“The host declined. There’s nothing we can do.”To make things worse, Hector Velez blocked those dates after my cancellation, so no one else could book them — but he still kept the full amount.I understand policies are policies — but where is the fairness? Where is Airbnb’s responsibility to protect guests from this kind of heartless behavior?Airbnb washed their hands and offered no support, no pressure on the host, and no empathy.I lost $1,677 for a simple human mistake. That’s not just bad service — it’s unethical.",1
DO NOT USE AIRBNB,"Booking Confirmation HMKDWM54TAI booked this Airbnb for my entire family of 6 adults months ago, the host was very responsive and I provided with the requested IDs.Hours before checking in, the host doesn’t not respond. I had to reach out to his co-host who posts the same listing, which is very sketchy and let me know they won’t be able to host us and cancelled the reservation. We were stranded in another country, different language and had to accommodate to a 2 bedroom apartment instead of a 6.I reached out to Airbnb but all they did was refund my money and gave me a $25 additional credit for me to find another booking on my own. They do not care about their clients. I will never use Airbnb anymore and will make sure none of my family members and friends do not use either.",1
Airbnb Fails to Support Long-Time Hosts,"Airbnb Fails to Support Long-Time HostsWe’ve been Superhosts for years with a 4.95+ rating, always going the extra mile for our guests. But after one guest left a misleading and retaliatory review — despite getting a full refund and declining our help — Airbnb promised to remove it, then failed to follow through.Support was inconsistent and unresponsive. We were assured the issue would be resolved, but were ultimately ignored. It’s clear Airbnb doesn’t back its hosts the way it expects us to support our guests.Very disappointing experience after years of loyalty. Hosts, beware — your reputation can be harmed by a single bad-faith guest, and Airbnb may not protect you.",1
Experience with host and Airbnb support team,"On 8/2, I contacted a host named Natalia regarding her Cali Beach Getaway listing. I was interested in booking from 8/14 to 8/17 and asked if a late checkout would be possible, since my family’s flight was later in the afternoon. She confirmed it was fine and sent me a pre-approval email clearly stating that I had until 9:30 PM on 8/3 to complete the booking before the invitation expired.Since I needed to confirm the dates with my family, I followed up with the host at 10:39 AM on 8/3 — well before the stated expiration time. To my surprise, I was told the listing had already been booked by someone else earlier that morning. This left me completely confused and frustrated, as I had every reason to believe the listing was being held for me until the agreed-upon deadline.Still, I remained polite and pointed out that the pre-approval email gave me until 9:30 PM to book. I explained that I simply needed time to coordinate with my family. The host and co-host read my message but never responded. Not acknowledging a reasonable concern, especially after clear communication and a commitment, is not just unprofessional — it’s disrespectful. It made me feel like my time and intentions were dismissed entirely. It also gave the impression that the hosts were more interested in securing a quicker booking than honoring their word or treating potential guests with basic courtesy.To make matters worse, when I tried to report the situation to Airbnb, I couldn’t find a straightforward way to leave feedback through the app. I contacted support and had to jump through several hoops just to explain the situation. One of the agents kept misunderstanding me and confused my issue with a past reservation that had no relevance at all. Despite multiple attempts to clarify, the conversation only caused more stress and wasted even more of my time.This entire experience has been extremely upsetting. It wasn’t just a case of losing out on a booking — it was about being misled, ignored, and then mishandled by both the host and Airbnb’s support. It’s made me question whether I want to continue using this platform to make travel plans, and whether guest concerns are truly valued at all.",1
Airbnb Support leaves both Hosts and Guests frustrated and unsupported.,"Hosts face biased decisions favoring guests, often ignoring clear evidence of damages, cancellations, or retaliatory reviews.Guests, on the other hand, struggle with wrongful cancellations, unfair complaints, cleanliness issues, and inaccurate listings, frequently left without proper support.This broken system fails to fairly address the concerns of either side. That’s why thousands of Hosts and Guests now turn to HostDispute for expert, policy-backed dispute letters that level the playing field and fight for fair outcomes.",1
Airbnb Can No Longer Be Trusted,"Airbnb Can No Longer Be Trusted – Misleading Listings and Poor OversightAfter a recent stay at a property listed as Large Luxury estate located in East Stroudsburg, PA  that I booked through Airbnb, I’ve lost confidence in the platform entirely. What was advertised and what was actually delivered were two very different things—and unfortunately, this doesn’t seem to be an isolated case.The listing we booked was presented as a high-quality, well-maintained property. In reality, it fell far short of those claims. The real issue, however, is not just the host or the property itself—it’s Airbnb’s role in enabling and sustaining these kinds of misleading listings.Airbnb presents itself as a platform that holds hosts to certain standards, yet time and time again, inaccurate descriptions, outdated photos, and subpar conditions are overlooked or ignored. When problems arise, there’s often little to no accountability or meaningful resolution. This creates a situation where guests are taking all the risk, while Airbnb continues to profit.It’s deeply frustrating to spend time and money based on a promise of quality, only to discover that Airbnb does not enforce its own standards. This experience has made it clear: Airbnb cannot be relied upon for truthful listings, consistent quality, or guest protection.I do not recommend using Airbnb. Until the platform takes responsibility for ensuring listings are accurate, sanitary, and safe, travelers are better off using services that offer genuine quality control and customer support.",1
Useless support chat and phone service…,Useless support chat and phone service - didn’t listen to what I said at all. There was an issue where the host wanted to remove the review of me and Airbnb didn’t listen. Don’t bother using 👍🏻,1
AWFUL. THE WORST. STAY AWAY.,"I am absolutely, positively DONE with Airbnb, which is saying a lot, because I despise Expedia, the new owners of VRBO as well.I booked a trip for July 2025. I had to cancel the day prior to our arrival for a medical emergency. I had also purchased insurance for this trip. I was assured by an agent, IN WRITING, that I would receive a full refund.Fast forward, no refund has been issued. The conversation where the agent stated, IN WRITING, that I would be refunded has magically disappeared. They tried to say that support conversations are automatically deleted after a certain period of time and that I didn't cancel the reservation. NONE of this makes sense, especially the fact that I still had a support message in my account from MAY.Unfortunately for me, because I hosted with Airbnb in the past and could not stand how incessant and harassing their automated messages were, I had disabled communications. I tried to re-enable messages after I stopped hosting but it never worked (gee, I wonder why). So all I have to go on was the history THEY provided.I wonder why, if I failed to cancel the reservation like they just said, that I received a partial refund. I just didn't receive the full amount like they promised - IN WRITING - that has magically disappeared.Never again.",1
"Outcome acceptable, but extremely exhausting","The accommodation was in an unacceptable hygienic condition upon arrival. We had to sleep on the floor and left the next morning. Only after multiple messages, phone calls, and filing a complaint through the European Consumer Centre did I receive almost the full refund. While the final outcome was acceptable, the process was long, stressful, and should have been handled much faster and more easily by customer service.",2
Misleading reviews and pictures,"The first property we stayed in had extremely steep stairs—so much so that anyone with even minor mobility issues would have struggled to use them. We ended up having to leave due to a significant leak. The second place was equally disappointing, with incredibly dirty carpets overall it was clean but the carpets were awful. Both properties had very high reviews, which I find hard to understand, as neither was a great place to stay.",1
Very happy with the Airbnb Support,"Very happy with the support Airbnb provided when we had issues at our location.Next door, the neighbors started a renovation. The host did not reflect upon the impact the situation had for us.Airbnb supported to get a solution.We were happy to learn there is a procedure that could be applied. We received a partial refund for the days we had severe construction noises.",5
We had a terrible experience with a…,"We had a terrible experience with a property booked through Airbnb, and the platform failed to handle it properly.When we arrived, we were given the wrong key code and couldn’t get in. Airbnb support required us to film ourselves trying to enter before the host gave us the correct code - an absurd and stressful situation.Once inside, the flat was in a disgusting state, including what appeared to be human waste. It clearly hadn’t been cleaned. We took photos and a video to document everything.We spent our first hour trying to deal with the mess, which caused me to miss a paid appointment. A cleaner was later sent but mistakenly threw away some of our belongings, possibly due to the chaos in the flat. The WiFi speed was unusable (1 Mbps), making remote work impossible.Most troubling, the host offered compensation in exchange for not leaving a negative review - which we reported to Airbnb. Despite clear evidence of the property being unfit for guests and the host acting unprofessionally, Airbnb refused to issue a proper refund. We were offered only a token 10% refund for the affected nights.This property was not as advertised, and Airbnb failed to take meaningful action. The support process felt slow, impersonal, and dismissive. I used to trust Airbnb, but after this experience, I’ll be extremely cautious about booking through them again - and I urge others to be careful as well.",1
A peaceful countryside retreat with a…,"A peaceful countryside retreat with a furry friendThe shepherd’s hut was just right – cosy, comfortable, and set in beautiful, quiet surroundings. Fresh spring water was drinkable and added a lovely, natural touch. Fields with sheep and cows nearby made it feel truly rural. We even had a visit from Misty the dog, who was friendly and added to the charm of the stay. The highlight was seeing a goshawk fly in – a special moment in a special place. Highly recommended!",5
Absolute scam!,Absolute scam!,1
Unjust charge after 7 years as a loyal Airbnb guest – disappointed,"I’ve been an Airbnb customer for over 7 years and have never had any issues – until now. After a short stay, I left an honest but negative review. The host then messaged me, asking me to delete my review. I declined.Two weeks after my checkout, the same host filed a reimbursement claim for a “missing” hairdryer. Yet, immediately after my checkout, she contacted me about a different missing item (a cleaning cloth, which turned out to not be missing) — showing that she checked the apartment thoroughly at that time. No hairdryer was mentioned.I provided all the context and screenshots, including the host’s message asking me to remove my review. Airbnb still decided against me, relying solely on the host’s invoice for a replacement and ignoring the suspicious timing and lack of direct proof.I feel I’ve been unfairly blamed and charged €150 without proper evidence. This experience has seriously damaged my trust in Airbnb, and I expected more from a platform I’ve used loyally for years.Very disappointed.",1
Stuck in a dangerous and extremely noise property,"Airbnb left us for 2 months stuck in hell. They did not care and have no complaints process and just close all complaints I raise. Paid thousands of pounds, all they care about is that they get their cut. Host left libellous feedback to my review and Airbnb say they can’t remove it. Lies of course as they have control of their own website.They don’t care about safety the apartment was dangerous and they said the host get to decide what is safe.Will never book an Airbnb again.Look elsewhere that look after your safety and well-being.",1
Horrible,"Horrible. I stayed in a bug infested place. Reported it and evidently Airbnb is good with this standard because neither the host or Airbnb did anything about it. This cost more over $4700 and no refund by either the host or Airbnb. As a matter of fact, the host mocked me for complaining and the customer service team didn't think there was anything bad, even after I sent them photos of the bathtub full of dead flies.",1
"Misleading cancellation process, no refund warning","I canceled a booking on Airbnb and was shocked to find out afterwards that the reservation was non-refundable. There was no clear warning or confirmation step indicating I would lose the full amount. The cancellation felt like a normal process, until I realized I had just lost 100% of my payment.Airbnb should make it much clearer when a reservation is non-refundable, either by blocking cancellation or requiring a confirmation that explicitly states the consequences. Right now, the process feels misleading and unfair to users.",1
Subject: Immediate Action Required – Ongoing Withholding of Payments Without Justification,"As of today, Airbnb has once again suspended our payouts without providing any explanation or legitimate reason. This marks the fourth time in 2025 that your platform has taken unilateral and unjustified action to block our earnings.We have complied with every request, verified our banking details multiple times, and responded in good faith—yet you continue to hold our funds hostage, severely damaging our operational capabilities. Our suppliers, staff, and business partners will now face delays in their payments, solely due to Airbnb’s arbitrary actions.This is no longer an internal support issue. It is a serious violation of financial ethics and trust, and we will not remain silent.Please be informed of the following:We are preparing a public campaign via social media, directly tagging and informing the Turkish Ministry of Culture and Tourism, the Ministry of Trade, the Banking Regulation and Supervision Agency (BDDK), and CİMER.Our legal counsel has been instructed to initiate proceedings regarding Airbnb’s repeated and unjustified withholding of funds from a registered Turkish business.We demand the immediate release of all funds owed to us, and a written explanation for the repeated payout suspensions.Airbnb is profiting from its Turkish hosts while showing blatant disregard for financial transparency and accountability. This is unacceptable.Unless this issue is resolved within 24 hours, we will take all necessary legal, public, and official steps to escalate this matter both nationally and internationally.Sincerely,Kozy HolidayAltuğ Nejat Pesen",1
AirBnB is 100% ok with you living in a…,"AirBnB is 100% ok with you living in a place that is unhygenic. Its disgusting. Once i got robbed loosing over 15K in value. That ALONE would have paid for all my hotels and costs that i would have saved in a lifetime. The losses i have faced staying at airbnb's is insane. Recently i stayed at an airbnb and they were fully ok with ants running around. I complained how this wasnt mentioned and they said its within their policy. Unless you are an ant lover, stay away from airbnb",1
Airbnb bunch of money making crocks,"Airbnb bunch of money making crocks, they stop at nothing to make money.I stayed with a host who turned out to be a far right, racist, abusive, misogynistic piece of work.AirBnb gave him a little tap on the wrist!!They're pure 100% greed only care about your money.Do not trust them people!!",1
"Fraud Rewarded, Superhost Betrayed — Airbnb Support Agent Anubhav Violates Policy and Ignores Hard Evidence","What Support Agent Anubhav did is a complete scandal. He approved a refund based on fake evidence fabricated by the guest, while completely ignoring our timestamped, signed, and geotagged cleaning report; five recorded phone calls; proof that the “lizard” was a toy they brought; and transcripts showing clear threats.We are 8-year Superhosts with over a thousand reviews, operating as a fully legal company. The guest’s 80-year-old mother couldn’t climb to the 5th floor, which they admitted they didn’t read in the listing — and used that as an excuse to invent false problems and extort a refund. Anubhav’s decision rewarded fraud.This case must be immediately escalated to a supervisor. We are demanding full reimbursement under AirCover. If this is not resolved appropriately, we will be publishing the entire case with all evidence on Trustpilot and other platforms.",1
They send people without contact with…,They send people without contact with us beware this peopleLast year it works but now is corrupted,1
Avoid Airbnb and Valhalla View,"Booked a 5* 2 night stay in Valhalla View, Scarsferry, Scotland.  Pictures looked amazing and it cost us just shy of £1000 for 2 nights. When we arrived at the property, the house itself looked impressive,  but it was surrounded by what can only be described as a junk yard. On closer inspection the property had not been cleaned.  Windows were filthy, surfaces covered in fingerprints, dirty laundry basket full to the brim. Dirty robe hung on the door, bleach stained towels, dirty floors. Outside there were nesting birds in the roof that had created a large pile of excrement. The grass was waist hight, so the view from the hot tub was long grass to the front, a broken down van to the left and bird poop behind. I could go on, but you get the point. I wrote to the host who made no apology.  He told me it was my choice if I looked at the van. That he could not remove the nesting birds and the long grass was assisting the wildlife... no mention of the appalling cleaning or removal of bird droppings. He did offer a full refund if I left the property,  but I'm 6 hours from home at this stage, with no chance of making a reservation in the Highlands in the hight of summer.  I informed him I would rather stay, but an apology would have helped and some form of reimbursement. I heard nothing back from the host directly.  Around an hour later I received a phone call from Airbnb. The operator informed me the host would like to cancel my booking and asked I leave the property.  I explained all of the above and asked what his justification was in asking me to leave. Apparently you are not allowed to offend a host by giving them accurate feedback of a property.  The airbnb call advisor said he would speak to the host and get back to me. When I received a further call we were given ""permission"" to stay.  On return from our trip I made contact with the support team to discuss the matter further and report this listing as inaccurate. I provided multiple photographs of the issue and was told they would investigate.  I was then informed that none of this violated airbnb's standards and they would not refund anything and I would have to contact the host again, if I wished to take any further action. When the host has already been unreasonable and taken no accountability, how can that even be an option! I spent the entire time i was there, worried he was going to come by the property and try to remove us again. It totally ruined our trip and anniversary. Airbnb should have investigated the matter when the host initially contacted them, and told him he had no grounds to remove us. I did not want to stay after the way we were treated and the state of the property,  but I had no choice! Im disgusted by the way we have been treated by both the host and Airbnb.",1
Poor customer service when dealing with complaints,"Listing details were changed at the last minute afer booking for which I  wrote a fair review over my displeasure, but was given malicious, retaliatory feedback. Airbnb refused to remove the bad review even though I was able to give full evidence that the review was false in content. Effectively I have been libelled and Airbnb will not remove this false claim. I no longer have any faith in their customer service and ability to treat customers fairly. Whereas a rogue host will continue to operate.",1
Rented a property and discovered a wasp…,Rented a property and discovered a wasp nest under the balcony. They disagreed to refund. It’s not first time I notice if you have an issue their support is a scam.,1
I booked an apartment through AirBnb…,"I booked an apartment through AirBnb and the property was dirty, in very deplorable condition and it smells horrible from cigarettes. It hasn’t even been cleaned. I made some pictures and left and I contacted the host. He tried to offer other places to stay but none of them had all the things I’m looking for when I’m booking a property. And I contacted the AirBNb support and they told me that the refund is up to the host if he/she wants to give me. Unbelievable! I had a similar issue a few years ago but that time I booked the place on Booking and they refund me in a few hours after I sent them the pictures with the place. So I recommend you to stay away from booking something on AirBnb.",1
Unauthorized Additional Charge and Poor Customer Service,"An amount of 2432 SAR was deducted from my bank account when booking through Airbnb, which was the amount shown at the time of payment. However, an additional amount of 76 SAR was deducted without any explanation or my consent.I contacted customer service multiple times and provided clear evidence, including:– The Airbnb booking receipt– The bank statement showing the deducted amountsDespite this, I did not receive any solution. Instead, they kept closing the conversations and repeating the same responses. This behavior shows a lack of respect for the customer and deliberate neglect of the issue.I demand that Airbnb immediately refund the 76 SAR; otherwise, I will escalate the complaint to the relevant authorities, including the bank, the Consumer Protection Agency, and international legal platforms. I will also continue to share my experience until the matter is taken seriously.My trust in the platform has been damaged, and I will not use their services again unless the error is corrected.",1
1 star is 1 star too many,1 star is 1 star too many. Treats hosts like garbage. Moving onto booking.com going forward.,1
We arrived few hours ago in Fort…,"I’m extremely disappointed in Airbnb support. My son and I arrived at our rental in Fort Lauderdale by the sea, after barely sleeping the night before, expecting to check in at the scheduled time (3:00 PM). The host first offered early check-in for $25, but then told us—after we were already on site—that we couldn’t even check in at the regular time because the cleaning crew wasn’t available. We were told we’d have to wait until 4 or even 6 PM.Airbnb support's solution? “Leave your luggage and go eat,” offering a $50 reimbursement — but we had nowhere to go, and we were exhausted. When we finally got in, the apartment had clearly been “cleaned” in 20 minutes or less. It was dirty, extremely dated, the sofa was stained and uncomfortable, and it looked nothing like the photos.There were no basic amenities — no welcome water, no beach chairs or umbrella (just some towels), and no space to dry wet clothes. This is not what we paid for. Airbnb’s support felt scripted and unhelpful — no real resolution, just “wait and deal with it.” I feel completely let down and will think twice before booking with Airbnb again.",1
"Severe financial damage, disrespect towards business travellers, unprofessional customer service","During the last 5 bookings, I experienced very bad customer service by various AirBnB teams. Requests were not properly read, answers were generous, decisions stalled over days or weeks, and no respect for the time of the customer. After endless discussions, I was forwarded to the next team and had explain everything again - same process. To the third, sometimes even the fourth team.We used AirBnB four business trip to major tradefairs in the past, but decided not to do so in the future. The customer service is a waste of time and disrespects business travelers. The teams have caused a 2000€ damage and additional wasted costs only for the last case. This is not professional at all.",1
Has kept £1000 of mine whilst giving me…,"Has kept £1000 of mine whilst giving me a partial refund after I left my accommodation after ONE NIGHT after spotting THREE indoor cameras !!! Also cameras exterior which none mentioned ! Totally illegal!! The house was filthy!! I will be taking further legal action!!! Bloody partial refund keeping £1000 of mine!! For the host breaking the rules and law!!! No way absolute shocking cusmtwr service !!! I will now go for compensation, the police will be informed and video and photo evidence in hand !!",1
A Disappointing Experience Made Worse by Airbnb’s Lack of Accountability,"I have been a loyal Airbnb user for years, both as a guest and a former host, but this most recent experience left me deeply disappointed. It was not just the host’s lack of empathy that hurt, but Airbnb’s refusal to take responsibility or provide any transparency.Shortly after making a reservation, I experienced a death in my family. I contacted the host within 30 minutes of booking, politely asking if they would consider a partial or full refund due to the circumstances. The host declined, and Airbnb advised me to work with them directly. The situation quickly became even more frustrating, with the host showing no compassion and Airbnb refusing to assist beyond repeating policy.Later, I left a respectful and honest review of my experience, which Airbnb removed without explanation. I reached out multiple times to ask what specific policy I had violated. Every time, Airbnb refused to clarify and stated only that the decision was final and they would disengage from further discussion.Even now, I have received no clear answers or real support. I filed a formal complaint through the BBB, and Airbnb responded with a vague, generic message that failed to address my specific concerns. After reviewing other customer complaints, it became clear that Airbnb is simply copy-pasting the same response across multiple cases, regardless of the issue. This lack of personalized or sincere engagement is unacceptable for a platform that claims to value its community.If Airbnb deletes reviews that reflect poorly on hosts, even during personal emergencies, how can travelers trust that the platform is truly transparent or reliable?This is not just about a refund. It is about basic decency, honest customer service, and consumer protection. Airbnb failed on all of those fronts.",1
As a host,"As a host, their cancellation fees are a scam. They claimed I owed them 388.00 for a cancellation from 4 (FOUR!) years ago. Didn't mention it, didn't let me know, remind me.  Just waited until I had hosted again and deducted it. This is despite the fact that I had detailed conversations FOUR years ago (which, understandably, I can't remember now!) to eaplain why I was cancelling and they accepted the reasoning by phone and no mention was made of the fee being 100% of the booking!SCAMMERS",1
"If anything goes wrong, no one will help you in any way","I am 23 years old. I don’t often use air bnb as have always used booking.com / hostelworld when travelling. My family bought a boat from our extended family a few years ago but haven’t had time to restore it. It is VERY old and is pretty much in bits. Me and my boyfriend came out for a month to begin deep cleaning it to help speed up the process as my dad is in the middle of retiring and is going to start coming out now to fix it up. After 2 weeks we found many issues with the boat and had to get someone out to repair it for a few days. We are staying in a small beach village with little apartments etc so we booked with air bnb as more options in a closer town for 2 people and our first stay was perfect. We had to book an additional night somewhere the day before as went on a day longer than expected. I explained the situation and they accepted through text. Then they started saying i had to rebook it as I hadn’t completed it - when in actuality the host hadn’t confirmed the booking through the system. Eventually they realised their mistake after back and forth in which i was very respectful / responsive as i don’t often use air bnb so wanted to know how to do it and thought initially it was my mistake. They didn’t acknowledge their mistake after it was confirmed and just started sending the usual copy and paste of all the details. I thought it was fine - I didn’t leave a review as i thought maybe there was a language barrier and the host didn’t mean to come off rude although i guess deep down i did have a bad taste in my mouth. We stayed for 1 night and left the place spotless as we didn’t eat or really spend any time there. We just used it for a bed for the night. The host left a review saying how young I was (Claire is very young!!!) and she thought my “strategy of getting a boat repaired 10 km away from us is very very strange” and “she didn’t understand it”. I contacted airbnb with absolutely no help or resolution. This may sound silly but i don’t understand why it appears that people are protected on this app. What i have learned about airbnb in comparison to other providers is that they will DO nothing to help you if something goes wrong - when things go fine, great but if ANYTHING and i mean ANYTHING goes wrong - that is it. Why can people (host or guests) leave a review with nothing to do with someone’s stay especially in such a negative way ? Now that will effect if i wanted to book other properties on the app and for what? She left other comments that can’t be accessed in my review just through my profile - special thanks as neat and tidy as well other suggestions try to communicate in a helpful way? We caused no issues and while communicating i was in no way passive aggressive, i was extremely open and respectful as I was just unsure how to fix the problem. I sent in my passport etc before- I have no problem with being 23 and I wasn’t hiding it. It honestly is a service that doesn’t seem to protect anyone- guest or host. I deleted my account as I do not want to support a company that allows such untrue, unprofessional and unsolicited reviews. I honestly never comment on anything good or bad but for some reason this has genuinely really affected me - it feels so uncalled for and unfair?",1
The support for hosts is fast but many times not helpfull,"Support is outsourced, with aim to close the tickets very fast, so some of them don't take the time to understand and resolve, just to close the tickets.As host you are supposed to serve the guests, but Airbnb itself is not that good to serve the hosts.Review system for hosts have some room for improvement",2
