Título,Comentario,Puntaje,processed_text,lemmatized_text,topic
Their customer service is below 1 star.,In order to secure my reservation I needed to verify my identity.  I tried multiple times and it simply would not let me.  My account also said I was verified when I wasn't so it wouldn't let me verify and it also wouldn't let me reserve since I wasn't.  Called customer service for them to basically tell me there wasn't anything they could do.  My advice is to use a website that actually works.,1,"['order', 'secure', 'reservation', 'needed', 'verify', 'identity', 'tried', 'multiple', 'time', 'simply', 'would', 'let', 'account', 'also', 'said', 'verified', 'would', 'let', 'verify', 'also', 'would', 'let', 'reserve', 'since', 'called', 'customer', 'service', 'basically', 'tell', 'anything', 'could', 'advice', 'use', 'website', 'actually', 'work']","['In', 'order', 'to', 'secure', 'my', 'reservation', 'I', 'needed', 'to', 'verify', 'my', 'identity', '.', 'I', 'tried', 'multiple', 'time', 'and', 'it', 'simply', 'would', 'not', 'let', 'me', '.', 'My', 'account', 'also', 'said', 'I', 'wa', 'verified', 'when', 'I', 'wa', ""n't"", 'so', 'it', 'would', ""n't"", 'let', 'me', 'verify', 'and', 'it', 'also', 'would', ""n't"", 'let', 'me', 'reserve', 'since', 'I', 'wa', ""n't"", '.', 'Called', 'customer', 'service', 'for', 'them', 'to', 'basically', 'tell', 'me', 'there', 'wa', ""n't"", 'anything', 'they', 'could', 'do', '.', 'My', 'advice', 'is', 'to', 'use', 'a', 'website', 'that', 'actually', 'work', '.']",service
Should vet info,Goodbye guys. Just ask the host for photos and don’t assume their 110 transactions outweigh the customer’s 17,1,"['goodbye', 'guy', 'ask', 'host', 'photo', 'assume', 'transaction', 'outweigh', 'customer']","['Goodbye', 'guy', '.', 'Just', 'ask', 'the', 'host', 'for', 'photo', 'and', 'don', '’', 't', 'assume', 'their', '110', 'transaction', 'outweigh', 'the', 'customer', '’', 's', '17']",other
Wait for refund.,"Could not complete booking as would not accept a valid passport as ID. Said my money was being ( note BEING ) refunded. When I contacted them about delay a week later, only THEN did they even start the refund. Please save yourself hassle and find another way of booking.",1,"['could', 'complete', 'booking', 'would', 'accept', 'valid', 'passport', 'id', 'said', 'money', 'note', 'refunded', 'contacted', 'delay', 'week', 'later', 'even', 'start', 'refund', 'please', 'save', 'hassle', 'find', 'another', 'way', 'booking']","['Could', 'not', 'complete', 'booking', 'a', 'would', 'not', 'accept', 'a', 'valid', 'passport', 'a', 'ID', '.', 'Said', 'my', 'money', 'wa', 'being', '(', 'note', 'BEING', ')', 'refunded', '.', 'When', 'I', 'contacted', 'them', 'about', 'delay', 'a', 'week', 'later', ',', 'only', 'THEN', 'did', 'they', 'even', 'start', 'the', 'refund', '.', 'Please', 'save', 'yourself', 'hassle', 'and', 'find', 'another', 'way', 'of', 'booking', '.']",other
🚩 Airbnb failed to protect me as a guest and ignored its own policies,"I booked a stay where the host tried to charge me an $80 pet fee and extra guest charges after booking. Neither fee was included in the price breakdown at checkout, as Airbnb policy requires. The host tried to sneak these in after the fact.I provided Airbnb with clear proof: screenshots of the price breakdown, policy links, and a timeline of events. Instead of addressing this, Airbnb support:❌ Gave me conflicting, templated responses❌ Misrepresented their own policies❌ Claimed that simply “mentioning” a fee in a listing made it valid (it doesn’t — fees must be included at checkout)❌ Ignored that no proper alteration request for extra charges was ever submitted or approvedThey only refunded me after I fought tooth and nail — and after trying to force me to accept a coupon I didn’t want. Their so-called senior managers closed my case with empty apologies and no accountability for the host.If you want a booking platform that enforces its own rules and protects guests, Airbnb isn’t it.",1,"['booked', 'stay', 'host', 'tried', 'charge', 'pet', 'fee', 'extra', 'guest', 'charge', 'booking', 'neither', 'fee', 'included', 'price', 'breakdown', 'checkout', 'airbnb', 'policy', 'requires', 'host', 'tried', 'sneak', 'facti', 'provided', 'airbnb', 'clear', 'proof', 'screenshots', 'price', 'breakdown', 'policy', 'link', 'timeline', 'event', 'instead', 'addressing', 'airbnb', 'support', 'gave', 'conflicting', 'templated', 'response', 'misrepresented', 'policy', 'claimed', 'simply', 'mentioning', 'fee', 'listing', 'made', 'valid', 'fee', 'must', 'included', 'checkout', 'ignored', 'proper', 'alteration', 'request', 'extra', 'charge', 'ever', 'submitted', 'approvedthey', 'refunded', 'fought', 'tooth', 'nail', 'trying', 'force', 'accept', 'coupon', 'want', 'socalled', 'senior', 'manager', 'closed', 'case', 'empty', 'apology', 'accountability', 'hostif', 'want', 'booking', 'platform', 'enforces', 'rule', 'protects', 'guest', 'airbnb']","['I', 'booked', 'a', 'stay', 'where', 'the', 'host', 'tried', 'to', 'charge', 'me', 'an', '$', '80', 'pet', 'fee', 'and', 'extra', 'guest', 'charge', 'after', 'booking', '.', 'Neither', 'fee', 'wa', 'included', 'in', 'the', 'price', 'breakdown', 'at', 'checkout', ',', 'a', 'Airbnb', 'policy', 'requires', '.', 'The', 'host', 'tried', 'to', 'sneak', 'these', 'in', 'after', 'the', 'fact.I', 'provided', 'Airbnb', 'with', 'clear', 'proof', ':', 'screenshots', 'of', 'the', 'price', 'breakdown', ',', 'policy', 'link', ',', 'and', 'a', 'timeline', 'of', 'event', '.', 'Instead', 'of', 'addressing', 'this', ',', 'Airbnb', 'support', ':', '❌', 'Gave', 'me', 'conflicting', ',', 'templated', 'responses❌', 'Misrepresented', 'their', 'own', 'policies❌', 'Claimed', 'that', 'simply', '“', 'mentioning', '”', 'a', 'fee', 'in', 'a', 'listing', 'made', 'it', 'valid', '(', 'it', 'doesn', '’', 't', '—', 'fee', 'must', 'be', 'included', 'at', 'checkout', ')', '❌', 'Ignored', 'that', 'no', 'proper', 'alteration', 'request', 'for', 'extra', 'charge', 'wa', 'ever', 'submitted', 'or', 'approvedThey', 'only', 'refunded', 'me', 'after', 'I', 'fought', 'tooth', 'and', 'nail', '—', 'and', 'after', 'trying', 'to', 'force', 'me', 'to', 'accept', 'a', 'coupon', 'I', 'didn', '’', 't', 'want', '.', 'Their', 'so-called', 'senior', 'manager', 'closed', 'my', 'case', 'with', 'empty', 'apology', 'and', 'no', 'accountability', 'for', 'the', 'host.If', 'you', 'want', 'a', 'booking', 'platform', 'that', 'enforces', 'it', 'own', 'rule', 'and', 'protects', 'guest', ',', 'Airbnb', 'isn', '’', 't', 'it', '.']",product
AirBNB does not follow their guest refund policy,"The house I stayed at had multiple issues including major water damage and a mouse infestation. The water damage caused us to leave. I understand that due to the long term stay policy, I technically owe the next 30 days. However, under the guest refund policy, AirBNB should refund me entirely. Instead they are continuously harassing me about further charges for the rest of the reservation. Their customer service is rude and will not help you. I’ve continuously been debating them and they keep reading me a script. All I asked was to not continue the next payments but now due to the harassment, I want all my money back. I will never recommend AirBNB to anyone.",1,"['house', 'stayed', 'multiple', 'issue', 'including', 'major', 'water', 'damage', 'mouse', 'infestation', 'water', 'damage', 'caused', 'u', 'leave', 'understand', 'due', 'long', 'term', 'stay', 'policy', 'technically', 'owe', 'next', 'day', 'however', 'guest', 'refund', 'policy', 'airbnb', 'refund', 'entirely', 'instead', 'continuously', 'harassing', 'charge', 'rest', 'reservation', 'customer', 'service', 'rude', 'help', 'continuously', 'debating', 'keep', 'reading', 'script', 'asked', 'continue', 'next', 'payment', 'due', 'harassment', 'want', 'money', 'back', 'never', 'recommend', 'airbnb', 'anyone']","['The', 'house', 'I', 'stayed', 'at', 'had', 'multiple', 'issue', 'including', 'major', 'water', 'damage', 'and', 'a', 'mouse', 'infestation', '.', 'The', 'water', 'damage', 'caused', 'u', 'to', 'leave', '.', 'I', 'understand', 'that', 'due', 'to', 'the', 'long', 'term', 'stay', 'policy', ',', 'I', 'technically', 'owe', 'the', 'next', '30', 'day', '.', 'However', ',', 'under', 'the', 'guest', 'refund', 'policy', ',', 'AirBNB', 'should', 'refund', 'me', 'entirely', '.', 'Instead', 'they', 'are', 'continuously', 'harassing', 'me', 'about', 'further', 'charge', 'for', 'the', 'rest', 'of', 'the', 'reservation', '.', 'Their', 'customer', 'service', 'is', 'rude', 'and', 'will', 'not', 'help', 'you', '.', 'I', '’', 've', 'continuously', 'been', 'debating', 'them', 'and', 'they', 'keep', 'reading', 'me', 'a', 'script', '.', 'All', 'I', 'asked', 'wa', 'to', 'not', 'continue', 'the', 'next', 'payment', 'but', 'now', 'due', 'to', 'the', 'harassment', ',', 'I', 'want', 'all', 'my', 'money', 'back', '.', 'I', 'will', 'never', 'recommend', 'AirBNB', 'to', 'anyone', '.']",service
Dont use Airbnb. I rented a property for 3 weeks in Ohio…,"I rented a property for 3 weeks in Ohio Columbus. From the first day I reported multiple issues to the host from filthy rooms, issues with AC, non functioning equipment.After 1 week of putting up with it I finally reached out to air bnb to complain and to request a cancellation due to the conditions. Absolutely no help whatsoever. The property was not advertised, after looking back on reviews the cleanliness was raised by other renters and clearly nothing was done but the host still maintained the super host status. Absolutely appalling behaviour from air bnb. Looking at the trust pilot reviews it seems they just dont care about there customers..shame on you air bnb",1,"['rented', 'property', 'week', 'ohio', 'columbus', 'first', 'day', 'reported', 'multiple', 'issue', 'host', 'filthy', 'room', 'issue', 'ac', 'non', 'functioning', 'equipmentafter', 'week', 'putting', 'finally', 'reached', 'air', 'bnb', 'complain', 'request', 'cancellation', 'due', 'condition', 'absolutely', 'help', 'whatsoever', 'property', 'advertised', 'looking', 'back', 'review', 'cleanliness', 'raised', 'renter', 'clearly', 'nothing', 'done', 'host', 'still', 'maintained', 'super', 'host', 'status', 'absolutely', 'appalling', 'behaviour', 'air', 'bnb', 'looking', 'trust', 'pilot', 'review', 'seems', 'care', 'customersshame', 'air', 'bnb']","['I', 'rented', 'a', 'property', 'for', '3', 'week', 'in', 'Ohio', 'Columbus', '.', 'From', 'the', 'first', 'day', 'I', 'reported', 'multiple', 'issue', 'to', 'the', 'host', 'from', 'filthy', 'room', ',', 'issue', 'with', 'AC', ',', 'non', 'functioning', 'equipment.After', '1', 'week', 'of', 'putting', 'up', 'with', 'it', 'I', 'finally', 'reached', 'out', 'to', 'air', 'bnb', 'to', 'complain', 'and', 'to', 'request', 'a', 'cancellation', 'due', 'to', 'the', 'condition', '.', 'Absolutely', 'no', 'help', 'whatsoever', '.', 'The', 'property', 'wa', 'not', 'advertised', ',', 'after', 'looking', 'back', 'on', 'review', 'the', 'cleanliness', 'wa', 'raised', 'by', 'other', 'renter', 'and', 'clearly', 'nothing', 'wa', 'done', 'but', 'the', 'host', 'still', 'maintained', 'the', 'super', 'host', 'status', '.', 'Absolutely', 'appalling', 'behaviour', 'from', 'air', 'bnb', '.', 'Looking', 'at', 'the', 'trust', 'pilot', 'review', 'it', 'seems', 'they', 'just', 'dont', 'care', 'about', 'there', 'customer', '..', 'shame', 'on', 'you', 'air', 'bnb']",service
Misleading support,"I had a disappointing experience with Airbnb — not just because of the stay itself, but because of how the platform misled me during the support process.I reported serious concerns to Airbnb early in my stay. A support representative told me I’d be eligible for a 30% refund for the entire reservation — around 20 nights — and advised me to reach back out at the end to claim it. At no point was I told that the only way to receive that refund would be by requesting it directly from the host.Based on this information, I shaped my actions accordingly: I didn’t escalate further, didn’t press the host, and didn’t gather additional proof — trusting that Airbnb would handle it as they said.After my stay ended, Airbnb reversed its position. They refunded me only for 2 nights and told me the rest would be up to the host. This was the first time I heard that the platform would not take responsibility for the full refund they initially promised.If I had been given accurate information, I would have acted differently. Instead, I was misled and denied a fair outcome — not because of what happened in the apartment, but because of how Airbnb handled the situation.Be cautious: the outcome of your case may hinge more on the individual handling it than on any transparent or reliable process.",1,"['disappointing', 'experience', 'airbnb', 'stay', 'platform', 'misled', 'support', 'processi', 'reported', 'serious', 'concern', 'airbnb', 'early', 'stay', 'support', 'representative', 'told', 'would', 'eligible', 'refund', 'entire', 'reservation', 'around', 'night', 'advised', 'reach', 'back', 'end', 'claim', 'point', 'told', 'way', 'receive', 'refund', 'would', 'requesting', 'directly', 'hostbased', 'information', 'shaped', 'action', 'accordingly', 'escalate', 'press', 'host', 'gather', 'additional', 'proof', 'trusting', 'airbnb', 'would', 'handle', 'saidafter', 'stay', 'ended', 'airbnb', 'reversed', 'position', 'refunded', 'night', 'told', 'rest', 'would', 'host', 'first', 'time', 'heard', 'platform', 'would', 'take', 'responsibility', 'full', 'refund', 'initially', 'promisedif', 'given', 'accurate', 'information', 'would', 'acted', 'differently', 'instead', 'misled', 'denied', 'fair', 'outcome', 'happened', 'apartment', 'airbnb', 'handled', 'situationbe', 'cautious', 'outcome', 'case', 'may', 'hinge', 'individual', 'handling', 'transparent', 'reliable', 'process']","['I', 'had', 'a', 'disappointing', 'experience', 'with', 'Airbnb', '—', 'not', 'just', 'because', 'of', 'the', 'stay', 'itself', ',', 'but', 'because', 'of', 'how', 'the', 'platform', 'misled', 'me', 'during', 'the', 'support', 'process.I', 'reported', 'serious', 'concern', 'to', 'Airbnb', 'early', 'in', 'my', 'stay', '.', 'A', 'support', 'representative', 'told', 'me', 'I', '’', 'd', 'be', 'eligible', 'for', 'a', '30', '%', 'refund', 'for', 'the', 'entire', 'reservation', '—', 'around', '20', 'night', '—', 'and', 'advised', 'me', 'to', 'reach', 'back', 'out', 'at', 'the', 'end', 'to', 'claim', 'it', '.', 'At', 'no', 'point', 'wa', 'I', 'told', 'that', 'the', 'only', 'way', 'to', 'receive', 'that', 'refund', 'would', 'be', 'by', 'requesting', 'it', 'directly', 'from', 'the', 'host.Based', 'on', 'this', 'information', ',', 'I', 'shaped', 'my', 'action', 'accordingly', ':', 'I', 'didn', '’', 't', 'escalate', 'further', ',', 'didn', '’', 't', 'press', 'the', 'host', ',', 'and', 'didn', '’', 't', 'gather', 'additional', 'proof', '—', 'trusting', 'that', 'Airbnb', 'would', 'handle', 'it', 'a', 'they', 'said.After', 'my', 'stay', 'ended', ',', 'Airbnb', 'reversed', 'it', 'position', '.', 'They', 'refunded', 'me', 'only', 'for', '2', 'night', 'and', 'told', 'me', 'the', 'rest', 'would', 'be', 'up', 'to', 'the', 'host', '.', 'This', 'wa', 'the', 'first', 'time', 'I', 'heard', 'that', 'the', 'platform', 'would', 'not', 'take', 'responsibility', 'for', 'the', 'full', 'refund', 'they', 'initially', 'promised.If', 'I', 'had', 'been', 'given', 'accurate', 'information', ',', 'I', 'would', 'have', 'acted', 'differently', '.', 'Instead', ',', 'I', 'wa', 'misled', 'and', 'denied', 'a', 'fair', 'outcome', '—', 'not', 'because', 'of', 'what', 'happened', 'in', 'the', 'apartment', ',', 'but', 'because', 'of', 'how', 'Airbnb', 'handled', 'the', 'situation.Be', 'cautious', ':', 'the', 'outcome', 'of', 'your', 'case', 'may', 'hinge', 'more', 'on', 'the', 'individual', 'handling', 'it', 'than', 'on', 'any', 'transparent', 'or', 'reliable', 'process', '.']",service
I would rate it zero if I could,I would rate it zero if I could.I have a very old AirBnB account that I never useWe are holiday cottage owners ers. I discovered today that an AirBnB host is fraudulently using MY mobile number. Customer services are just NOT interested. They refuse to even look at it u till I provide MY date of birth and MY payment method ( I have no idea what this is ans the account has been inactive for so many years).I asked to speak to a supervisor. I was transferred to someone who claimed his name was Batman. He then continued to talk really weird rubbish at me. Apparently this company has no way of investigating fraud.I am appalled. My next call is to Action Fraud to report both the host and AirBnB.,1,"['would', 'rate', 'zero', 'couldi', 'old', 'airbnb', 'account', 'never', 'usewe', 'holiday', 'cottage', 'owner', 'er', 'discovered', 'today', 'airbnb', 'host', 'fraudulently', 'using', 'mobile', 'number', 'customer', 'service', 'interested', 'refuse', 'even', 'look', 'till', 'provide', 'date', 'birth', 'payment', 'method', 'idea', 'an', 'account', 'inactive', 'many', 'yearsi', 'asked', 'speak', 'supervisor', 'transferred', 'someone', 'claimed', 'name', 'batman', 'continued', 'talk', 'really', 'weird', 'rubbish', 'apparently', 'company', 'way', 'investigating', 'fraudi', 'appalled', 'next', 'call', 'action', 'fraud', 'report', 'host', 'airbnb']","['I', 'would', 'rate', 'it', 'zero', 'if', 'I', 'could.I', 'have', 'a', 'very', 'old', 'AirBnB', 'account', 'that', 'I', 'never', 'useWe', 'are', 'holiday', 'cottage', 'owner', 'er', '.', 'I', 'discovered', 'today', 'that', 'an', 'AirBnB', 'host', 'is', 'fraudulently', 'using', 'MY', 'mobile', 'number', '.', 'Customer', 'service', 'are', 'just', 'NOT', 'interested', '.', 'They', 'refuse', 'to', 'even', 'look', 'at', 'it', 'u', 'till', 'I', 'provide', 'MY', 'date', 'of', 'birth', 'and', 'MY', 'payment', 'method', '(', 'I', 'have', 'no', 'idea', 'what', 'this', 'is', 'an', 'the', 'account', 'ha', 'been', 'inactive', 'for', 'so', 'many', 'year', ')', '.I', 'asked', 'to', 'speak', 'to', 'a', 'supervisor', '.', 'I', 'wa', 'transferred', 'to', 'someone', 'who', 'claimed', 'his', 'name', 'wa', 'Batman', '.', 'He', 'then', 'continued', 'to', 'talk', 'really', 'weird', 'rubbish', 'at', 'me', '.', 'Apparently', 'this', 'company', 'ha', 'no', 'way', 'of', 'investigating', 'fraud.I', 'am', 'appalled', '.', 'My', 'next', 'call', 'is', 'to', 'Action', 'Fraud', 'to', 'report', 'both', 'the', 'host', 'and', 'AirBnB', '.']",service
The aircover for the guests is total…,The aircover for the guests is total scam. We rented a place which was completely different from the description and with potentially dangerous selfbuilt electricity constructions. The support of Airbnb did not help in getting a full refund for the stay. I will never use Airbnb again,1,"['aircover', 'guest', 'total', 'scam', 'rented', 'place', 'completely', 'different', 'description', 'potentially', 'dangerous', 'selfbuilt', 'electricity', 'construction', 'support', 'airbnb', 'help', 'getting', 'full', 'refund', 'stay', 'never', 'use', 'airbnb']","['The', 'aircover', 'for', 'the', 'guest', 'is', 'total', 'scam', '.', 'We', 'rented', 'a', 'place', 'which', 'wa', 'completely', 'different', 'from', 'the', 'description', 'and', 'with', 'potentially', 'dangerous', 'selfbuilt', 'electricity', 'construction', '.', 'The', 'support', 'of', 'Airbnb', 'did', 'not', 'help', 'in', 'getting', 'a', 'full', 'refund', 'for', 'the', 'stay', '.', 'I', 'will', 'never', 'use', 'Airbnb', 'again']",service
"2 cancelled bookings - 1 day before, and 1 week before. Costing over £3k in damages and left without anywhere to stay tonight","We booked 2 bookings for elderly parents visiting London (7 months in advance), and in walking distance to our home, and both cancelled last minute. One was 4 days before the booking, one was as 1 day before the booking.I spent over 24 hours on the phone to try and find a replacement and left without anywhere for one day, and had to pay an additional £3k for a 2 week booking. The refund policy means they only refund you the cost of the original  booking (and sometimes up to 20% of the additional cost of a new booking). But, at last minute there is naturally nothing available.The second booking cancelled 1 day before, and again we would have to pay more to find anything close to suitable.Any other travel company would look after guests when there is something wrong with the accommodation - book something at the same or better.Air Bnb policies mean you have to pay when a host cancels, and if you’re lucky you might find somewhere else to stay.We didn’t find anywhere to live today, and have been left in the lurch with a refund that will arrive in 3 days.Please don’t ever book air Bnb for any important trips you can’t afford to cancel, or if you aren’t willing and able to cover additional costs for a new booking if your host cancels.I’ve been left in debt of over £3k, lost days and nights of sleep, and now don’t have anywhere for my mother to stay for the next week.This is not acceptable and suggest no one books air Bnb until these policies change - hosts who cancel last minute should be required to cover the additional cost for a new booking the guests agree is the same or better than quality.They suggested my mum stay in a 8 bedroom dorm 6 miles away from me as a replacement.Their current policies when you book and are treated badly by bad hosts, you must cover the cost to fix what they cancel.  Please keep this in mind.Here are the two bookings who cancelled last minute to ensure you avoid them.This host cancelled less than 1 week before a 2 week booking, booked 7 months ago. The original cost was £3,100 and we had to pay an additional £3,000+ to cover another booking that was suitable - with almost nothing available at such last minute notice for a long period in london in June. Do not book this one: “Chelsea Snug with Garden”, hosted by Jonny.This host cancelled 1 day before arrival for a 1 week stay which originally cost £1,300, with no rationale or replies to any messages - do not book this one. Property by Capital is the managing host, “ 1 bedroom apartment in Chelsea - RCG”",1,"['booked', 'booking', 'elderly', 'parent', 'visiting', 'london', 'month', 'advance', 'walking', 'distance', 'home', 'cancelled', 'last', 'minute', 'one', 'day', 'booking', 'one', 'day', 'bookingi', 'spent', 'hour', 'phone', 'try', 'find', 'replacement', 'left', 'without', 'anywhere', 'one', 'day', 'pay', 'additional', 'k', 'week', 'booking', 'refund', 'policy', 'mean', 'refund', 'cost', 'original', 'booking', 'sometimes', 'additional', 'cost', 'new', 'booking', 'last', 'minute', 'naturally', 'nothing', 'availablethe', 'second', 'booking', 'cancelled', 'day', 'would', 'pay', 'find', 'anything', 'close', 'suitableany', 'travel', 'company', 'would', 'look', 'guest', 'something', 'wrong', 'accommodation', 'book', 'something', 'betterair', 'bnb', 'policy', 'mean', 'pay', 'host', 'cancel', 'lucky', 'might', 'find', 'somewhere', 'else', 'staywe', 'find', 'anywhere', 'live', 'today', 'left', 'lurch', 'refund', 'arrive', 'daysplease', 'ever', 'book', 'air', 'bnb', 'important', 'trip', 'afford', 'cancel', 'willing', 'able', 'cover', 'additional', 'cost', 'new', 'booking', 'host', 'cancelsi', 'left', 'debt', 'k', 'lost', 'day', 'night', 'sleep', 'anywhere', 'mother', 'stay', 'next', 'weekthis', 'acceptable', 'suggest', 'one', 'book', 'air', 'bnb', 'policy', 'change', 'host', 'cancel', 'last', 'minute', 'required', 'cover', 'additional', 'cost', 'new', 'booking', 'guest', 'agree', 'better', 'qualitythey', 'suggested', 'mum', 'stay', 'bedroom', 'dorm', 'mile', 'away', 'replacementtheir', 'current', 'policy', 'book', 'treated', 'badly', 'bad', 'host', 'must', 'cover', 'cost', 'fix', 'cancel', 'please', 'keep', 'mindhere', 'two', 'booking', 'cancelled', 'last', 'minute', 'ensure', 'avoid', 'themthis', 'host', 'cancelled', 'less', 'week', 'week', 'booking', 'booked', 'month', 'ago', 'original', 'cost', 'pay', 'additional', 'cover', 'another', 'booking', 'suitable', 'almost', 'nothing', 'available', 'last', 'minute', 'notice', 'long', 'period', 'london', 'june', 'book', 'one', 'chelsea', 'snug', 'garden', 'hosted', 'jonnythis', 'host', 'cancelled', 'day', 'arrival', 'week', 'stay', 'originally', 'cost', 'rationale', 'reply', 'message', 'book', 'one', 'property', 'capital', 'managing', 'host', 'bedroom', 'apartment', 'chelsea', 'rcg']","['We', 'booked', '2', 'booking', 'for', 'elderly', 'parent', 'visiting', 'London', '(', '7', 'month', 'in', 'advance', ')', ',', 'and', 'in', 'walking', 'distance', 'to', 'our', 'home', ',', 'and', 'both', 'cancelled', 'last', 'minute', '.', 'One', 'wa', '4', 'day', 'before', 'the', 'booking', ',', 'one', 'wa', 'a', '1', 'day', 'before', 'the', 'booking.I', 'spent', 'over', '24', 'hour', 'on', 'the', 'phone', 'to', 'try', 'and', 'find', 'a', 'replacement', 'and', 'left', 'without', 'anywhere', 'for', 'one', 'day', ',', 'and', 'had', 'to', 'pay', 'an', 'additional', '£3k', 'for', 'a', '2', 'week', 'booking', '.', 'The', 'refund', 'policy', 'mean', 'they', 'only', 'refund', 'you', 'the', 'cost', 'of', 'the', 'original', 'booking', '(', 'and', 'sometimes', 'up', 'to', '20', '%', 'of', 'the', 'additional', 'cost', 'of', 'a', 'new', 'booking', ')', '.', 'But', ',', 'at', 'last', 'minute', 'there', 'is', 'naturally', 'nothing', 'available.The', 'second', 'booking', 'cancelled', '1', 'day', 'before', ',', 'and', 'again', 'we', 'would', 'have', 'to', 'pay', 'more', 'to', 'find', 'anything', 'close', 'to', 'suitable.Any', 'other', 'travel', 'company', 'would', 'look', 'after', 'guest', 'when', 'there', 'is', 'something', 'wrong', 'with', 'the', 'accommodation', '-', 'book', 'something', 'at', 'the', 'same', 'or', 'better.Air', 'Bnb', 'policy', 'mean', 'you', 'have', 'to', 'pay', 'when', 'a', 'host', 'cancel', ',', 'and', 'if', 'you', '’', 're', 'lucky', 'you', 'might', 'find', 'somewhere', 'else', 'to', 'stay.We', 'didn', '’', 't', 'find', 'anywhere', 'to', 'live', 'today', ',', 'and', 'have', 'been', 'left', 'in', 'the', 'lurch', 'with', 'a', 'refund', 'that', 'will', 'arrive', 'in', '3', 'days.Please', 'don', '’', 't', 'ever', 'book', 'air', 'Bnb', 'for', 'any', 'important', 'trip', 'you', 'can', '’', 't', 'afford', 'to', 'cancel', ',', 'or', 'if', 'you', 'aren', '’', 't', 'willing', 'and', 'able', 'to', 'cover', 'additional', 'cost', 'for', 'a', 'new', 'booking', 'if', 'your', 'host', 'cancels.I', '’', 've', 'been', 'left', 'in', 'debt', 'of', 'over', '£3k', ',', 'lost', 'day', 'and', 'night', 'of', 'sleep', ',', 'and', 'now', 'don', '’', 't', 'have', 'anywhere', 'for', 'my', 'mother', 'to', 'stay', 'for', 'the', 'next', 'week.This', 'is', 'not', 'acceptable', 'and', 'suggest', 'no', 'one', 'book', 'air', 'Bnb', 'until', 'these', 'policy', 'change', '-', 'host', 'who', 'cancel', 'last', 'minute', 'should', 'be', 'required', 'to', 'cover', 'the', 'additional', 'cost', 'for', 'a', 'new', 'booking', 'the', 'guest', 'agree', 'is', 'the', 'same', 'or', 'better', 'than', 'quality.They', 'suggested', 'my', 'mum', 'stay', 'in', 'a', '8', 'bedroom', 'dorm', '6', 'mile', 'away', 'from', 'me', 'a', 'a', 'replacement.Their', 'current', 'policy', 'when', 'you', 'book', 'and', 'are', 'treated', 'badly', 'by', 'bad', 'host', ',', 'you', 'must', 'cover', 'the', 'cost', 'to', 'fix', 'what', 'they', 'cancel', '.', 'Please', 'keep', 'this', 'in', 'mind.Here', 'are', 'the', 'two', 'booking', 'who', 'cancelled', 'last', 'minute', 'to', 'ensure', 'you', 'avoid', 'them.This', 'host', 'cancelled', 'less', 'than', '1', 'week', 'before', 'a', '2', 'week', 'booking', ',', 'booked', '7', 'month', 'ago', '.', 'The', 'original', 'cost', 'wa', '£3,100', 'and', 'we', 'had', 'to', 'pay', 'an', 'additional', '£3,000+', 'to', 'cover', 'another', 'booking', 'that', 'wa', 'suitable', '-', 'with', 'almost', 'nothing', 'available', 'at', 'such', 'last', 'minute', 'notice', 'for', 'a', 'long', 'period', 'in', 'london', 'in', 'June', '.', 'Do', 'not', 'book', 'this', 'one', ':', '“', 'Chelsea', 'Snug', 'with', 'Garden', '”', ',', 'hosted', 'by', 'Jonny.This', 'host', 'cancelled', '1', 'day', 'before', 'arrival', 'for', 'a', '1', 'week', 'stay', 'which', 'originally', 'cost', '£1,300', ',', 'with', 'no', 'rationale', 'or', 'reply', 'to', 'any', 'message', '-', 'do', 'not', 'book', 'this', 'one', '.', 'Property', 'by', 'Capital', 'is', 'the', 'managing', 'host', ',', '“', '1', 'bedroom', 'apartment', 'in', 'Chelsea', '-', 'RCG', '”']",negative
My account has been blocked without any…,My account has been blocked without any reason and I can't book a place now,1,"['account', 'blocked', 'without', 'reason', 'book', 'place']","['My', 'account', 'ha', 'been', 'blocked', 'without', 'any', 'reason', 'and', 'I', 'ca', ""n't"", 'book', 'a', 'place', 'now']",other
Service just just host representative.,Their policy gives all rights to the host to claim any review they want to even claim untrue behaviour and guests have no right to ask them to prove it or to make any comment. Airbnb is one way supporting the hosts there is no support for the guest is if the host is not honest.,1,"['policy', 'give', 'right', 'host', 'claim', 'review', 'want', 'even', 'claim', 'untrue', 'behaviour', 'guest', 'right', 'ask', 'prove', 'make', 'comment', 'airbnb', 'one', 'way', 'supporting', 'host', 'support', 'guest', 'host', 'honest']","['Their', 'policy', 'give', 'all', 'right', 'to', 'the', 'host', 'to', 'claim', 'any', 'review', 'they', 'want', 'to', 'even', 'claim', 'untrue', 'behaviour', 'and', 'guest', 'have', 'no', 'right', 'to', 'ask', 'them', 'to', 'prove', 'it', 'or', 'to', 'make', 'any', 'comment', '.', 'Airbnb', 'is', 'one', 'way', 'supporting', 'the', 'host', 'there', 'is', 'no', 'support', 'for', 'the', 'guest', 'is', 'if', 'the', 'host', 'is', 'not', 'honest', '.']",service
